Date : 2022-06-22 15:31:26
Directory : d:\工作区\uniapp\heima-shop
Total : 182 files,  27536 codes, 4065 comments, 2549 blanks, all 34150 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| d:\工作区\uniapp\heima-shop\src\components\uni-data-picker\uni-data-picker.vue             | Vue                |        445 |         60 |         37 |        542 |
| d:\工作区\uniapp\heima-shop\src\components\uni-data-pickerview\uni-data-picker.js          | JavaScript         |        522 |          1 |         41 |        564 |
| d:\工作区\uniapp\heima-shop\src\components\uni-data-pickerview\uni-data-pickerview.vue     | Vue                |        262 |         42 |         30 |        334 |
| d:\工作区\uniapp\heima-shop\src\components\uni-data-select\uni-data-select.vue             | Vue                |        338 |         36 |         29 |        403 |
| d:\工作区\uniapp\heima-shop\src\components\uni-dateformat\date-format.js                   | JavaScript         |        191 |          3 |          7 |        201 |
| d:\工作区\uniapp\heima-shop\src\components\uni-dateformat\uni-dateformat.vue               | Vue                |         73 |         12 |          4 |         89 |
| d:\工作区\uniapp\heima-shop\src\components\uni-datetime-picker\calendar-item.vue           | Vue                |        156 |          9 |         21 |        186 |
| d:\工作区\uniapp\heima-shop\src\components\uni-datetime-picker\calendar.vue                | Vue                |        720 |        133 |         46 |        899 |
| d:\工作区\uniapp\heima-shop\src\components\uni-datetime-picker\i18n\en.json                | JSON               |         19 |          0 |          1 |         20 |
| d:\工作区\uniapp\heima-shop\src\components\uni-datetime-picker\i18n\index.js               | JavaScript         |          8 |          0 |          1 |          9 |
| d:\工作区\uniapp\heima-shop\src\components\uni-datetime-picker\i18n\zh-Hans.json           | JSON               |         19 |          0 |          1 |         20 |
| d:\工作区\uniapp\heima-shop\src\components\uni-datetime-picker\i18n\zh-Hant.json           | JSON               |         19 |          0 |          1 |         20 |
| d:\工作区\uniapp\heima-shop\src\components\uni-datetime-picker\keypress.js                 | JavaScript         |         42 |          3 |          0 |         45 |
| d:\工作区\uniapp\heima-shop\src\components\uni-datetime-picker\time-picker.vue             | Vue                |        734 |        128 |         66 |        928 |
| d:\工作区\uniapp\heima-shop\src\components\uni-datetime-picker\uni-datetime-picker.vue     | Vue                |        864 |         82 |         52 |        998 |
| d:\工作区\uniapp\heima-shop\src\components\uni-datetime-picker\util.js                     | JavaScript         |        298 |         86 |         27 |        411 |
| d:\工作区\uniapp\heima-shop\src\components\uni-drawer\keypress.js                          | JavaScript         |         39 |          6 |          1 |         46 |
| d:\工作区\uniapp\heima-shop\src\components\uni-drawer\uni-drawer.vue                       | Vue                |        122 |         51 |         11 |        184 |
| d:\工作区\uniapp\heima-shop\src\components\uni-easyinput\common.js                         | JavaScript         |         43 |         12 |          2 |         57 |
| d:\工作区\uniapp\heima-shop\src\components\uni-easyinput\uni-easyinput.vue                 | Vue                |        364 |         75 |         23 |        462 |
| d:\工作区\uniapp\heima-shop\src\components\uni-fab\uni-fab.vue                             | Vue                |        343 |         96 |         37 |        476 |
| d:\工作区\uniapp\heima-shop\src\components\uni-fav\i18n\en.json                            | JSON               |          4 |          0 |          1 |          5 |
| d:\工作区\uniapp\heima-shop\src\components\uni-fav\i18n\index.js                           | JavaScript         |          8 |          0 |          1 |          9 |
| d:\工作区\uniapp\heima-shop\src\components\uni-fav\i18n\zh-Hans.json                       | JSON               |          4 |          0 |          1 |          5 |
| d:\工作区\uniapp\heima-shop\src\components\uni-fav\i18n\zh-Hant.json                       | JSON               |          4 |          0 |          1 |          5 |
| d:\工作区\uniapp\heima-shop\src\components\uni-fav\uni-fav.vue                             | Vue                |        123 |         29 |         10 |        162 |
| d:\工作区\uniapp\heima-shop\src\components\uni-file-picker\choose-and-upload-file.js       | JavaScript         |        209 |          0 |         16 |        225 |
| d:\工作区\uniapp\heima-shop\src\components\uni-file-picker\uni-file-picker.vue             | Vue                |        500 |        124 |         28 |        652 |
| d:\工作区\uniapp\heima-shop\src\components\uni-file-picker\upload-file.vue                 | Vue                |        267 |         32 |         27 |        326 |
| d:\工作区\uniapp\heima-shop\src\components\uni-file-picker\upload-image.vue                | Vue                |        264 |         12 |         17 |        293 |
| d:\工作区\uniapp\heima-shop\src\components\uni-file-picker\utils.js                        | JavaScript         |         85 |         19 |          6 |        110 |
| d:\工作区\uniapp\heima-shop\src\components\uni-forms-item\uni-forms-item.vue               | Vue                |        394 |         85 |         31 |        510 |
| d:\工作区\uniapp\heima-shop\src\components\uni-forms\uni-forms.vue                         | Vue                |        347 |        108 |         24 |        479 |
| d:\工作区\uniapp\heima-shop\src\components\uni-forms\validate.js                           | JavaScript         |        421 |          1 |         65 |        487 |
| d:\工作区\uniapp\heima-shop\src\components\uni-goods-nav\i18n\en.json                      | JSON               |          6 |          0 |          1 |          7 |
| d:\工作区\uniapp\heima-shop\src\components\uni-goods-nav\i18n\index.js                     | JavaScript         |          8 |          0 |          1 |          9 |
| d:\工作区\uniapp\heima-shop\src\components\uni-goods-nav\i18n\zh-Hans.json                 | JSON               |          6 |          0 |          1 |          7 |
| d:\工作区\uniapp\heima-shop\src\components\uni-goods-nav\i18n\zh-Hant.json                 | JSON               |          6 |          0 |          1 |          7 |
| d:\工作区\uniapp\heima-shop\src\components\uni-goods-nav\uni-goods-nav.vue                 | Vue                |        178 |         34 |         18 |        230 |
| d:\工作区\uniapp\heima-shop\src\components\uni-grid-item\uni-grid-item.vue                 | Vue                |         98 |         23 |          7 |        128 |
| d:\工作区\uniapp\heima-shop\src\components\uni-grid\uni-grid.vue                           | Vue                |        105 |         32 |          6 |        143 |
| d:\工作区\uniapp\heima-shop\src\components\uni-group\uni-group.vue                         | Vue                |        109 |         17 |          9 |        135 |
| d:\工作区\uniapp\heima-shop\src\components\uni-icons\icons.js                              | JavaScript         |      1,169 |          0 |          1 |      1,170 |
| d:\工作区\uniapp\heima-shop\src\components\uni-icons\uni-icons.vue                         | Vue                |         73 |         18 |          6 |         97 |
| d:\工作区\uniapp\heima-shop\src\components\uni-icons\uniicons.css                          | CSS                |        498 |          0 |        166 |        664 |
| d:\工作区\uniapp\heima-shop\src\components\uni-indexed-list\uni-indexed-list-item.vue      | Vue                |        120 |         14 |         11 |        145 |
| d:\工作区\uniapp\heima-shop\src\components\uni-indexed-list\uni-indexed-list.vue           | Vue                |        295 |         56 |         17 |        368 |
| d:\工作区\uniapp\heima-shop\src\components\uni-link\uni-link.vue                           | Vue                |         98 |         27 |          4 |        129 |
| d:\工作区\uniapp\heima-shop\src\components\uni-list-ad\uni-list-ad.vue                     | Vue                |         84 |         14 |         10 |        108 |
| d:\工作区\uniapp\heima-shop\src\components\uni-list-chat\uni-list-chat.scss                | SCSS               |         25 |         23 |         11 |         59 |
| d:\工作区\uniapp\heima-shop\src\components\uni-list-chat\uni-list-chat.vue                 | Vue                |        408 |         91 |         40 |        539 |
| d:\工作区\uniapp\heima-shop\src\components\uni-list-item\uni-list-item.vue                 | Vue                |        370 |         81 |          4 |        455 |
| d:\工作区\uniapp\heima-shop\src\components\uni-list\uni-list.vue                           | Vue                |         81 |         21 |          7 |        109 |
| d:\工作区\uniapp\heima-shop\src\components\uni-list\uni-refresh.vue                        | Vue                |         55 |          8 |          3 |         66 |
| d:\工作区\uniapp\heima-shop\src\components\uni-list\uni-refresh.wxs                        | wxs                |         73 |          0 |         15 |         88 |
| d:\工作区\uniapp\heima-shop\src\components\uni-load-more\i18n\en.json                      | JSON               |          5 |          0 |          1 |          6 |
| d:\工作区\uniapp\heima-shop\src\components\uni-load-more\i18n\index.js                     | JavaScript         |          8 |          0 |          1 |          9 |
| d:\工作区\uniapp\heima-shop\src\components\uni-load-more\i18n\zh-Hans.json                 | JSON               |          5 |          0 |          1 |          6 |
| d:\工作区\uniapp\heima-shop\src\components\uni-load-more\i18n\zh-Hant.json                 | JSON               |          5 |          0 |          1 |          6 |
| d:\工作区\uniapp\heima-shop\src\components\uni-load-more\uni-load-more.vue                 | Vue                |        309 |         38 |         53 |        400 |
| d:\工作区\uniapp\heima-shop\src\components\uni-nav-bar\uni-nav-bar.vue                     | Vue                |        266 |         59 |         24 |        349 |
| d:\工作区\uniapp\heima-shop\src\components\uni-nav-bar\uni-status-bar.vue                  | Vue                |         23 |          2 |          3 |         28 |
| d:\工作区\uniapp\heima-shop\src\components\uni-notice-bar\uni-notice-bar.vue               | Vue                |        304 |         71 |         21 |        396 |
| d:\工作区\uniapp\heima-shop\src\components\uni-number-box\uni-number-box.vue               | Vue                |        182 |         27 |         13 |        222 |
| d:\工作区\uniapp\heima-shop\src\components\uni-pagination\i18n\en.json                     | JSON               |          4 |          0 |          1 |          5 |
| d:\工作区\uniapp\heima-shop\src\components\uni-pagination\i18n\es.json                     | JSON               |          4 |          0 |          1 |          5 |
| d:\工作区\uniapp\heima-shop\src\components\uni-pagination\i18n\fr.json                     | JSON               |          4 |          0 |          1 |          5 |
| d:\工作区\uniapp\heima-shop\src\components\uni-pagination\i18n\index.js                    | JavaScript         |         12 |          0 |          1 |         13 |
| d:\工作区\uniapp\heima-shop\src\components\uni-pagination\i18n\zh-Hans.json                | JSON               |          4 |          0 |          1 |          5 |
| d:\工作区\uniapp\heima-shop\src\components\uni-pagination\i18n\zh-Hant.json                | JSON               |          4 |          0 |          1 |          5 |
| d:\工作区\uniapp\heima-shop\src\components\uni-pagination\uni-pagination.vue               | Vue                |        337 |         48 |         25 |        410 |
| d:\工作区\uniapp\heima-shop\src\components\uni-popup-dialog\keypress.js                    | JavaScript         |         42 |          3 |          1 |         46 |
| d:\工作区\uniapp\heima-shop\src\components\uni-popup-dialog\uni-popup-dialog.vue           | Vue                |        217 |         35 |         20 |        272 |
| d:\工作区\uniapp\heima-shop\src\components\uni-popup-message\uni-popup-message.vue         | Vue                |        103 |         27 |         14 |        144 |
| d:\工作区\uniapp\heima-shop\src\components\uni-popup-share\uni-popup-share.vue             | Vue                |        150 |         26 |         12 |        188 |
| d:\工作区\uniapp\heima-shop\src\components\uni-popup\i18n\en.json                          | JSON               |          7 |          0 |          1 |          8 |
| d:\工作区\uniapp\heima-shop\src\components\uni-popup\i18n\index.js                         | JavaScript         |          8 |          0 |          1 |          9 |
| d:\工作区\uniapp\heima-shop\src\components\uni-popup\i18n\zh-Hans.json                     | JSON               |          7 |          0 |          1 |          8 |
| d:\工作区\uniapp\heima-shop\src\components\uni-popup\i18n\zh-Hant.json                     | JSON               |          7 |          0 |          1 |          8 |
| d:\工作区\uniapp\heima-shop\src\components\uni-popup\keypress.js                           | JavaScript         |         39 |          6 |          1 |         46 |
| d:\工作区\uniapp\heima-shop\src\components\uni-popup\popup.js                              | JavaScript         |         21 |          3 |          3 |         27 |
| d:\工作区\uniapp\heima-shop\src\components\uni-popup\uni-popup.vue                         | Vue                |        343 |        120 |         12 |        475 |
| d:\工作区\uniapp\heima-shop\src\components\uni-rate\uni-rate.vue                           | Vue                |        274 |         74 |         14 |        362 |
| d:\工作区\uniapp\heima-shop\src\components\uni-row\uni-row.vue                             | Vue                |        121 |         40 |         30 |        191 |
| d:\工作区\uniapp\heima-shop\src\components\uni-scss\changelog.md                           | Markdown           |          8 |          0 |          1 |          9 |
| d:\工作区\uniapp\heima-shop\src\components\uni-scss\index.scss                             | SCSS               |          1 |          0 |          1 |          2 |
| d:\工作区\uniapp\heima-shop\src\components\uni-scss\package.json                           | JSON               |         82 |          0 |          1 |         83 |
| d:\工作区\uniapp\heima-shop\src\components\uni-scss\readme.md                              | Markdown           |          3 |          0 |          1 |          4 |
| d:\工作区\uniapp\heima-shop\src\components\uni-scss\styles\index.scss                      | SCSS               |          7 |          0 |          1 |          8 |
| d:\工作区\uniapp\heima-shop\src\components\uni-scss\styles\setting\_border.scss            | SCSS               |          3 |          0 |          0 |          3 |
| d:\工作区\uniapp\heima-shop\src\components\uni-scss\styles\setting\_color.scss             | SCSS               |         49 |         16 |          2 |         67 |
| d:\工作区\uniapp\heima-shop\src\components\uni-scss\styles\setting\_radius.scss            | SCSS               |         52 |          1 |          3 |         56 |
| d:\工作区\uniapp\heima-shop\src\components\uni-scss\styles\setting\_space.scss             | SCSS               |         54 |          0 |          2 |         56 |
| d:\工作区\uniapp\heima-shop\src\components\uni-scss\styles\setting\_styles.scss            | SCSS               |        149 |          3 |         16 |        168 |
| d:\工作区\uniapp\heima-shop\src\components\uni-scss\styles\setting\_text.scss              | SCSS               |         19 |          4 |          2 |         25 |
| d:\工作区\uniapp\heima-shop\src\components\uni-scss\styles\setting\_variables.scss         | SCSS               |        103 |         29 |         15 |        147 |
| d:\工作区\uniapp\heima-shop\src\components\uni-scss\styles\tools\functions.scss            | SCSS               |         17 |          1 |          2 |         20 |
| d:\工作区\uniapp\heima-shop\src\components\uni-scss\theme.scss                             | SCSS               |         19 |         11 |          2 |         32 |
| d:\工作区\uniapp\heima-shop\src\components\uni-scss\variables.scss                         | SCSS               |         37 |         13 |         13 |         63 |
| d:\工作区\uniapp\heima-shop\src\components\uni-search-bar\i18n\en.json                     | JSON               |          4 |          0 |          0 |          4 |
| d:\工作区\uniapp\heima-shop\src\components\uni-search-bar\i18n\index.js                    | JavaScript         |          8 |          0 |          1 |          9 |
| d:\工作区\uniapp\heima-shop\src\components\uni-search-bar\i18n\zh-Hans.json                | JSON               |          4 |          0 |          1 |          5 |
| d:\工作区\uniapp\heima-shop\src\components\uni-search-bar\i18n\zh-Hant.json                | JSON               |          4 |          0 |          1 |          5 |
| d:\工作区\uniapp\heima-shop\src\components\uni-search-bar\uni-search-bar.vue               | Vue                |        232 |         55 |         12 |        299 |
| d:\工作区\uniapp\heima-shop\src\components\uni-segmented-control\uni-segmented-control.vue | Vue                |        117 |         18 |         11 |        146 |
| d:\工作区\uniapp\heima-shop\src\components\uni-steps\uni-steps.vue                         | Vue                |        202 |         40 |         28 |        270 |
| d:\工作区\uniapp\heima-shop\src\components\uni-swipe-action-item\bindingx.js               | JavaScript         |        247 |         37 |         19 |        303 |
| d:\工作区\uniapp\heima-shop\src\components\uni-swipe-action-item\isPC.js                   | JavaScript         |         12 |          0 |          0 |         12 |
| d:\工作区\uniapp\heima-shop\src\components\uni-swipe-action-item\mpalipay.js               | JavaScript         |        158 |         24 |         12 |        194 |
| d:\工作区\uniapp\heima-shop\src\components\uni-swipe-action-item\mpother.js                | JavaScript         |        201 |         43 |         14 |        258 |
| d:\工作区\uniapp\heima-shop\src\components\uni-swipe-action-item\mpwxs.js                  | JavaScript         |         71 |          8 |          5 |         84 |
| d:\工作区\uniapp\heima-shop\src\components\uni-swipe-action-item\render.js                 | JavaScript         |        169 |         74 |         28 |        271 |
| d:\工作区\uniapp\heima-shop\src\components\uni-swipe-action-item\uni-swipe-action-item.vue | Vue                |        251 |         67 |         27 |        345 |
| d:\工作区\uniapp\heima-shop\src\components\uni-swipe-action-item\wx.wxs                    | wxs                |        305 |          0 |         37 |        342 |
| d:\工作区\uniapp\heima-shop\src\components\uni-swipe-action\uni-swipe-action.vue           | Vue                |         37 |         19 |          5 |         61 |
| d:\工作区\uniapp\heima-shop\src\components\uni-swiper-dot\uni-swiper-dot.vue               | Vue                |        164 |         39 |         16 |        219 |
